City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,pangnirtung,66.1451,-65.7125,-33.0,68,75,0.0,CA,1675627066
303,road town,18.4167,-64.6167,27.05,69,40,6.17,VG,1675627066
304,solnechnyy,50.7214,136.6319,-24.2,97,41,1.38,RU,1675627067
305,batemans bay,-35.7167,150.1833,17.18,79,88,1.07,AU,1675627067
306,nanortalik,60.1432,-45.2371,-4.96,82,100,14.96,GL,1675627068
307,karratha,-20.7377,116.8463,30.44,54,11,3.94,AU,1675627068
308,pecos,31.4229,-103.4932,25.69,16,0,3.09,US,1675627069
309,funtua,11.5233,7.3081,25.02,15,98,4.26,NG,1675627069
310,san juan,-31.5375,-68.5364,36.7,15,0,3.74,AR,1675627070
311,eenhana,-17.4667,16.3333,20.82,62,100,2.5,NA,1675627070
312,chateaubelair,13.2833,-61.25,27.29,74,40,7.72,VC,1675627070
313,zabaykalsk,49.6333,117.3167,-23.47,100,79,3.19,RU,1675627071
314,ichhawar,23.0167,77.0167,18.27,30,0,1.19,IN,1675627071
315,beringovskiy,63.05,179.3167,-28.59,93,100,5.47,RU,1675627072
316,fukue,32.6881,128.8419,10.39,53,100,4.85,JP,1675627072
317,ostrovnoy,68.0531,39.5131,-14.15,97,92,5.11,RU,1675627072
318,tarko-sale,64.9225,77.785,-24.87,100,100,0.86,RU,1675627073
319,chongwe,-15.3292,28.682,20.32,96,100,1.41,ZM,1675627073
320,jalu,29.0331,21.5482,13.69,55,31,7.25,LY,1675627074
321,yermakovskoye,53.2831,92.4003,-23.6,100,94,0.26,RU,1675627074
322,roswell,34.0232,-84.3616,15.93,52,75,2.57,US,1675627075
323,port macquarie,-31.4333,152.9167,18.83,81,87,1.34,AU,1675627075
324,chinsali,-10.5414,32.0816,16.62,95,84,1.34,ZM,1675627075
325,moose factory,51.2585,-80.6094,-16.0,71,75,2.06,CA,1675627076
326,deputatskiy,69.3,139.9,-32.37,98,100,1.68,RU,1675627076
327,dzhebariki-khaya,62.2167,135.8,-35.58,100,99,0.22,RU,1675627077
328,port hedland,-20.3167,118.5667,27.03,83,6,1.54,AU,1675627077
329,great falls,47.5002,-111.3008,7.66,47,100,5.66,US,1675627060
330,guarapari,-20.6667,-40.4975,29.38,88,64,5.04,BR,1675627078
331,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675627078
332,hualmay,-11.0964,-77.6139,25.19,68,60,3.91,PE,1675627078
333,sargatskoye,55.6101,73.4972,-17.67,98,100,2.28,RU,1675627079
334,peniche,39.3558,-9.3811,13.09,69,3,2.17,PT,1675627079
335,navalmoral de la mata,39.8916,-5.5406,11.09,61,11,0.93,ES,1675627080
336,ust-maya,60.4167,134.5333,-41.72,100,100,0.84,RU,1675627080
337,nouadhibou,20.931,-17.0347,21.99,33,100,6.17,MR,1675627081
338,vidim,56.4088,103.1106,-12.73,97,100,1.81,RU,1675627081
339,kattivakkam,13.2167,80.3167,25.05,78,4,2.03,IN,1675627081
340,tessalit,20.1986,1.0114,21.94,11,100,4.01,ML,1675627082
341,dvinskoy,62.1535,45.1175,-21.71,100,100,1.04,RU,1675627082
342,novoilinsk,51.6829,108.7143,-24.03,100,81,0.59,RU,1675627083
343,kourou,5.1552,-52.6478,24.03,88,100,5.67,GF,1675627083
344,oum hadjer,13.2954,19.6966,26.56,10,87,4.17,TD,1675627083
345,lucea,18.451,-78.1736,28.92,71,3,2.96,JM,1675627084
346,birao,10.2849,22.7882,24.96,13,12,2.31,CF,1675627084
347,anloga,5.7947,0.8973,27.67,84,100,6.79,GH,1675627085
348,repatriacion,-25.5333,-55.95,32.56,26,100,3.18,PY,1675627085
349,oranjemund,-28.55,16.4333,17.5,94,99,4.82,NA,1675627085
350,bucerias,20.75,-105.3333,29.39,45,0,4.23,MX,1675627086
351,aland,17.5667,76.5667,22.88,23,0,3.27,IN,1675627086
352,west fargo,46.875,-96.9004,-6.1,74,20,2.06,US,1675627087
353,montlucon,46.3333,2.6,3.72,88,87,4.46,FR,1675627087
354,padilla,3.2204,-76.3139,30.76,50,50,0.4,CO,1675627088
355,tucuman,-26.8241,-65.2226,30.0,51,20,2.06,AR,1675626845
356,salisbury,51.0693,-1.7957,3.43,82,83,2.57,GB,1675627088
357,sukumo,32.9333,132.7333,3.94,61,100,2.19,JP,1675627088
358,raipur,21.2333,81.6333,17.75,21,0,0.88,IN,1675627089
359,sieradz,51.5958,18.7302,-3.75,88,81,2.24,PL,1675626815
360,paka,4.6374,103.4368,25.96,89,100,3.09,MY,1675627089
361,dzerzhinsk,56.2389,43.4631,-6.1,85,100,3.0,RU,1675627090
362,tarancon,40.0085,-3.0073,8.9,34,0,0.74,ES,1675627090
363,clyde river,70.4692,-68.5914,-24.87,58,100,7.2,CA,1675627091
364,graaff-reinet,-32.2522,24.5308,22.18,79,5,5.78,ZA,1675627091
365,bull savanna,17.8868,-77.5902,27.21,58,0,8.36,JM,1675627091
366,fortuna,40.5982,-124.1573,9.4,95,75,4.12,US,1675627067
367,sanming,26.2486,117.6186,15.01,99,100,0.34,CN,1675627092
368,zaysan,47.4667,84.8667,-9.63,90,99,2.02,KZ,1675627092
369,krasnyy yar,46.5331,48.3456,-3.04,94,47,2.84,RU,1675627093
370,dambulla,7.86,80.6517,20.8,93,96,1.14,LK,1675627093
371,adrar,20.5022,-10.0711,17.45,24,76,4.71,MR,1675627094
372,durango,24.8333,-104.8333,21.59,19,0,2.96,MX,1675627094
373,parana,-31.732,-60.5238,34.75,32,0,2.04,AR,1675627095
374,creel,27.75,-107.6333,18.58,14,0,4.12,MX,1675627095
375,rio grande,-32.035,-52.0986,27.06,71,15,6.04,BR,1675627096
376,camara de lobos,32.6333,-16.9667,16.74,81,40,7.2,PT,1675627096
377,navrongo,10.8956,-1.0921,29.88,13,35,3.51,GH,1675627096
378,mocajuba,-2.5842,-49.5072,25.81,90,99,1.76,BR,1675627089
379,bilma,18.6853,12.9164,21.9,15,18,7.34,NE,1675627097
380,bara,10.3744,10.7288,26.98,16,67,3.88,NG,1675627097
381,imbituba,-28.24,-48.6703,25.95,64,54,2.95,BR,1675627098
382,shahrud,36.4182,54.9763,2.5,43,0,1.24,IR,1675627098
383,beira,-19.8436,34.8389,28.05,83,20,3.6,MZ,1675627099
384,cabo san lucas,22.8909,-109.9124,28.12,51,23,0.89,MX,1675627047
385,capao da canoa,-29.7456,-50.0097,28.71,51,3,4.09,BR,1675627099
386,reforma,18.1,-91.0167,26.16,66,67,1.99,MX,1675627100
387,port-cartier,50.0334,-66.8654,-14.03,85,100,3.15,CA,1675627100
388,eirunepe,-6.6603,-69.8736,25.32,82,100,1.22,BR,1675627101
389,yang talat,16.3998,103.3679,28.3,95,93,1.13,TH,1675627101
390,zyryanka,65.75,150.85,-35.48,100,100,1.07,RU,1675627101
391,sao filipe,14.8961,-24.4956,21.71,62,98,6.29,CV,1675627102
392,carnarvon,-24.8667,113.6333,24.88,75,1,6.69,AU,1675627102
393,norman wells,65.282,-126.8329,-30.98,76,75,0.0,CA,1675627103
394,gualeguay,-33.1416,-59.3097,34.59,15,0,1.84,AR,1675627103
395,port-gentil,-0.7193,8.7815,25.98,83,20,1.54,GA,1675627104
396,barranca,-10.75,-77.7667,24.69,67,28,4.37,PE,1675627104
397,ouesso,1.6136,16.0517,26.4,30,87,1.4,CG,1675627105
398,broome,42.2506,-75.833,6.5,52,0,5.14,US,1675627105
399,ugoofaaru,5.6667,73.0,26.85,76,98,1.99,MV,1675627106
400,faya,18.3851,42.4509,14.29,65,99,1.71,SA,1675627106
401,koumac,-20.5667,164.2833,27.92,80,99,2.62,NC,1675627107
402,notse,6.95,1.1667,29.68,57,100,4.56,TG,1675627108
403,kuminskiy,58.6667,66.5667,-14.8,99,100,1.09,RU,1675627111
404,arlit,18.7369,7.3853,25.21,11,6,4.62,NE,1675627112
405,los llanos de aridane,28.6585,-17.9182,13.96,72,75,5.14,ES,1675627112
406,sambava,-14.2667,50.1667,24.96,88,100,3.04,MG,1675627112
407,ossora,59.2353,163.0719,-24.87,80,7,2.1,RU,1675627113
408,chaumont,48.1167,5.1333,5.47,89,93,6.01,FR,1675627113
409,arica,-18.475,-70.3042,28.75,69,0,4.12,CL,1675627113
410,binika,21.0333,83.8,17.57,24,0,1.0,IN,1675627114
411,isangel,-19.55,169.2667,27.64,80,100,2.51,VU,1675627114
412,aksha,50.2814,113.2867,-20.61,96,22,1.95,RU,1675627115
413,acapulco,16.8634,-99.8901,30.1,47,0,4.51,MX,1675626960
414,vaitape,-16.5167,-151.75,27.46,75,9,6.07,PF,1675627115
415,lata,40.1629,-8.3327,8.13,71,0,1.99,PT,1675627116
416,roebourne,-20.7833,117.1333,30.8,51,11,4.12,AU,1675627116
417,katsuura,35.1333,140.3,8.42,82,0,2.36,JP,1675627116
418,vardo,70.3705,31.1107,-8.01,93,100,11.83,NO,1675627117
419,young,-32.6833,-57.6333,33.27,12,0,2.48,UY,1675627117
420,mairana,-18.1167,-63.9333,14.29,96,100,0.58,BO,1675627118
421,cabedelo,-6.9811,-34.8339,30.37,72,12,5.05,BR,1675627118
422,erenhot,43.6475,111.9767,-9.66,55,11,1.11,CN,1675627118
423,barra patuca,15.8,-84.2833,27.3,60,8,3.2,HN,1675627119
424,richards bay,-28.783,32.0377,22.64,88,9,1.77,ZA,1675627119
425,bolshoy lug,52.0779,104.0919,-22.68,100,90,1.24,RU,1675627120
426,deloraine,-41.5333,146.6667,9.44,15,25,1.14,AU,1675627120
427,gizo,-8.103,156.8419,25.33,94,100,8.74,SB,1675627120
428,japura,-0.3167,102.35,22.8,97,99,1.03,ID,1675627121
429,huilong,31.8111,121.655,7.18,89,100,3.73,CN,1675627121
430,kuchera,26.9839,73.9719,19.6,30,0,3.66,IN,1675627122
431,santa cruz,-17.8,-63.1667,28.03,69,75,4.63,BO,1675626840
432,fremont,37.5483,-121.9886,13.97,74,75,8.75,US,1675627054
433,kavieng,-2.5744,150.7967,27.36,74,100,1.31,PG,1675627123
434,tongliao,43.6125,122.2653,-11.05,74,9,0.56,CN,1675627123
435,garowe,8.4054,48.4845,21.36,62,34,5.75,SO,1675627123
436,grunstadt,49.5692,8.1681,6.4,96,100,3.11,DE,1675627124
437,yafran,32.0633,12.5286,8.28,87,65,2.54,LY,1675627124
438,hasaki,35.7333,140.8333,3.45,80,98,3.81,JP,1675627125
439,sitka,57.0531,-135.33,3.94,70,100,5.66,US,1675627125
440,brae,60.3964,-1.353,6.97,77,100,9.33,GB,1675627125
441,palembang,-2.9167,104.7458,24.05,100,89,1.54,ID,1675627126
442,ketchikan,55.3422,-131.6461,3.99,87,0,2.06,US,1675627126
443,comodoro rivadavia,-45.8667,-67.5,23.92,23,0,5.66,AR,1675627127
444,narwar,25.65,77.9,16.19,40,0,0.77,IN,1675627127
445,mold,53.1667,-3.1414,3.76,89,93,1.46,GB,1675627128
446,airai,-8.9266,125.4092,15.51,93,100,0.83,TL,1675627128
447,lashio,22.9333,97.75,10.66,55,70,0.69,MM,1675627128
448,pemangkat,1.1667,108.9667,24.4,90,95,2.04,ID,1675627129
449,fare,-16.7,-151.0167,27.6,74,42,6.42,PF,1675627130
450,ayorou,14.7308,0.9174,28.86,11,100,3.37,NE,1675627132
451,sundsvall,62.3913,17.3063,1.98,64,24,8.75,SE,1675627132
452,san carlos,9.6612,-68.5827,34.6,28,48,3.82,VE,1675626925
453,aksu,41.1231,80.2644,-5.99,84,100,2.37,CN,1675627133
454,ransang,8.9603,117.5828,24.91,86,33,1.33,PH,1675627133
455,sangar,63.9242,127.4739,-39.91,99,100,1.77,RU,1675627134
456,karwar,14.8,74.1333,23.89,61,3,1.87,IN,1675627134
457,sao joao da barra,-21.6403,-41.0511,30.05,85,12,6.06,BR,1675627134
458,puerto plata,19.7934,-70.6884,28.58,83,75,2.57,DO,1675627135
459,nyurba,63.2842,118.3319,-48.13,100,66,1.69,RU,1675627135
460,pervomayskiy,53.2485,40.2871,-5.15,96,100,1.64,RU,1675627136
461,tabou,4.423,-7.3528,26.64,85,100,3.98,CI,1675627136
462,bengkulu,-3.8004,102.2655,23.28,90,100,3.06,ID,1675627137
463,markapur,15.7333,79.2833,21.22,76,99,1.23,IN,1675627137
464,chifeng,42.2683,118.9636,-8.26,53,0,0.66,CN,1675627137
465,tornio,65.8481,24.1466,-7.99,91,100,1.82,FI,1675627138
466,setermoen,68.861,18.3486,2.46,86,100,3.57,NO,1675627138
467,sao jose da coroa grande,-8.8978,-35.1478,27.36,75,25,3.83,BR,1675627139
468,agnibilekrou,7.1344,-3.2047,29.24,29,98,0.83,CI,1675627139
469,awjilah,29.1081,21.2869,13.31,58,24,6.6,LY,1675627139
470,gigant,46.5066,41.3419,0.8,76,100,3.6,RU,1675627140
471,gladstone,-23.85,151.25,25.96,78,75,3.6,AU,1675627140
472,epe,6.5841,3.9834,27.28,84,100,3.8,NG,1675627141
473,bandarbeyla,9.4942,50.8122,24.03,74,68,7.39,SO,1675627141
474,narsaq,60.9167,-46.05,-10.15,92,88,4.42,GL,1675627141
475,majene,-3.5403,118.9707,25.1,81,100,3.22,ID,1675627142
476,basco,20.4487,121.9702,24.88,72,85,7.08,PH,1675627144
477,luderitz,-26.6481,15.1594,18.63,79,98,7.33,NA,1675627144
478,maputo,-25.9653,32.5892,26.82,69,40,5.36,MZ,1675627145
479,college,64.8569,-147.8028,-18.01,77,0,3.6,US,1675627146
480,barsovo,61.1667,73.1667,-19.93,99,100,1.15,RU,1675627146
481,mazagao,-0.115,-51.2894,29.03,74,85,2.31,BR,1675627116
482,pacific grove,36.6177,-121.9166,14.17,78,40,6.69,US,1675627148
483,gbadolite,4.2833,21.0167,26.15,24,0,1.13,CD,1675627148
484,orlik,52.5178,99.825,-22.46,99,98,0.84,RU,1675627149
485,sandnessjoen,66.0217,12.6316,2.06,80,0,3.6,NO,1675627150
486,noumea,-22.2763,166.4572,28.33,99,100,3.91,NC,1675626848
487,madison,34.7334,-86.5667,15.77,50,0,6.69,US,1675626666
488,la rioja,42.25,-2.5,0.88,90,65,2.39,ES,1675627153
489,vila,42.0304,-8.1588,6.49,66,0,1.9,PT,1675627154
490,azuqueca de henares,40.5669,-3.2599,12.63,41,0,4.12,ES,1675627155
491,yanji,42.9075,129.5078,-12.06,95,44,1.35,CN,1675627155
492,teguise,29.0605,-13.564,15.12,63,0,4.12,ES,1675627157
493,george,-33.963,22.4617,21.75,88,75,1.03,ZA,1675627158
494,yulara,-25.2406,130.9889,19.85,23,0,4.2,AU,1675627159
495,alice springs,-23.7,133.8833,12.75,82,0,2.57,AU,1675627159
496,litovko,49.2361,135.1742,-30.52,100,84,1.06,RU,1675627160
497,mahon,39.8885,4.2658,11.31,76,20,7.72,ES,1675627161
498,sola,-13.8833,167.55,28.12,75,100,8.44,VU,1675627161
499,xuanzhou,30.9525,118.7553,8.83,95,100,0.65,CN,1675627162
500,camana,-16.6228,-72.7111,25.4,75,92,2.44,PE,1675627162
501,vila velha,-20.3297,-40.2925,29.97,78,20,8.75,BR,1675627163
502,pedernales,18.0384,-71.744,29.64,51,62,8.23,DO,1675627164
503,manaure,11.7751,-72.4445,30.39,51,99,9.39,CO,1675627167
504,labytnangi,66.6572,66.4183,-20.67,94,21,2.1,RU,1675627169
505,saint-pierre,-21.3393,55.4781,26.82,78,20,1.54,RE,1675627169
506,sikonge,-5.6333,32.7667,18.9,87,100,2.01,TZ,1675627170
507,naze,28.3667,129.4833,17.51,80,100,4.53,JP,1675627170
508,baker city,44.7749,-117.8344,3.11,85,100,4.12,US,1675627171
509,mosquera,4.7059,-74.2302,19.05,42,75,6.17,CO,1675627171
510,marzuq,14.4,46.4667,17.94,76,94,2.5,YE,1675627172
511,yakeshi,49.2833,120.7333,-28.8,100,100,1.25,CN,1675627172
512,san quintin,30.4833,-115.95,18.19,59,3,9.27,MX,1675627172
513,balikpapan,-1.2675,116.8289,25.55,94,40,1.54,ID,1675626895
514,mountain home,43.133,-115.6912,5.64,75,75,3.6,US,1675627173
515,kwinana,-32.25,115.7667,22.88,85,0,1.34,AU,1675627159
516,baie-comeau,49.2168,-68.1489,-10.18,79,100,1.54,CA,1675627174
517,tiebissou,7.1574,-5.2257,31.05,35,92,1.37,CI,1675627174
518,grand-santi,4.25,-54.3833,23.24,98,100,1.49,GF,1675627175
519,luino,46.0019,8.7451,6.9,74,99,0.51,IT,1675627175
520,rudnichnyy,59.617,52.4703,-23.31,100,100,1.09,RU,1675627176
521,synya,65.3718,58.0387,-16.0,98,93,1.99,RU,1675627176
522,gorokhovets,56.1947,42.7003,-13.64,99,91,1.68,RU,1675627177
523,rio gallegos,-51.6226,-69.2181,17.03,29,40,17.49,AR,1675627177
524,kortkeros,61.8106,51.5806,-17.0,100,100,0.25,RU,1675627177
525,tala,30.6803,30.9429,13.34,33,40,6.67,EG,1675627178
526,albanel,48.8832,-72.4487,-12.92,72,100,2.57,CA,1675627178
527,kyabe,9.4515,18.9449,29.42,12,100,2.01,TD,1675627179
528,wattegama,6.7989,81.4808,22.33,89,100,2.15,LK,1675627179
529,teguldet,57.3064,88.1667,-24.27,100,100,0.55,RU,1675627180
530,ashland,40.8167,-82.2665,7.77,66,100,7.12,US,1675627180
531,mitsamiouli,-11.3847,43.2844,27.66,77,97,1.93,KM,1675627180
532,puerto maldonado,-12.6,-69.1833,28.22,78,40,3.09,PE,1675627181
533,myitkyina,25.3833,97.4,16.02,57,5,1.12,MM,1675627181
534,trairi,-3.2778,-39.2689,27.44,76,83,4.26,BR,1675626968
535,la ronge,55.1001,-105.2842,0.14,74,75,3.6,CA,1675627182
536,bowen,-20.0167,148.2333,27.26,84,22,5.62,AU,1675627182
537,batangafo,7.3008,18.2833,26.84,14,64,2.27,CF,1675627183
538,henties bay,-22.116,14.2845,18.31,87,100,2.51,NA,1675627183
539,kargil,34.5667,76.1,-20.7,82,100,0.97,IN,1675627184
540,cassilandia,-19.1133,-51.7342,25.3,84,98,0.86,BR,1675627013
541,gunnedah,-30.9833,150.25,17.71,71,0,1.96,AU,1675627184
542,olafsvik,64.8945,-23.7142,5.12,89,100,17.02,IS,1675627185
543,nipawin,53.3668,-104.0009,-0.98,93,40,5.14,CA,1675627185
544,le port,-20.9373,55.2919,27.0,81,100,2.98,RE,1675627186
545,sovetskiy,61.3614,63.5842,-14.14,98,100,1.01,RU,1675627186
546,healdsburg,38.6105,-122.8692,13.16,80,75,3.09,US,1675627186
547,koumra,8.9126,17.5539,28.93,12,100,1.66,TD,1675627187
548,huescar,37.811,-2.5412,7.84,57,1,1.54,ES,1675627187
549,podgorenskiy,50.405,39.6429,-6.97,96,100,2.57,RU,1675627187
550,bambanglipuro,-7.95,110.2833,25.73,85,100,4.79,ID,1675627188
551,havelock,34.8791,-76.9013,18.99,72,100,3.6,US,1675627188
552,maceio,-9.6658,-35.7353,28.69,74,75,4.63,BR,1675627189
553,khani,41.9563,42.9566,3.76,63,100,2.85,GE,1675627189
554,santa rosa,14.3122,121.1114,25.99,86,99,2.94,PH,1675627045
555,nacajuca,18.1333,-93.0167,22.23,72,90,1.42,MX,1675627190
556,amos,48.5669,-78.1162,-10.76,90,100,3.04,CA,1675627190
557,jacqueville,5.2052,-4.4146,27.24,84,57,6.35,CI,1675627190
558,krasnoselkup,65.7,82.4667,-18.49,99,89,1.92,RU,1675627191
559,chipinge,-20.1883,32.6236,20.19,63,78,1.45,ZW,1675627191
560,antiguo morelos,22.5495,-99.0812,27.08,33,0,2.66,MX,1675627192
561,tanete,-3.9443,119.7848,23.62,96,100,1.05,ID,1675627192
562,boyolangu,-8.1181,111.8935,24.43,82,100,1.05,ID,1675627193
563,pontal do parana,-25.6533,-48.5128,32.77,67,95,3.16,BR,1675627193
564,haines junction,60.7522,-137.5108,-11.03,85,100,0.51,CA,1675627193
565,gravelbourg,49.8834,-106.5512,3.15,75,41,6.32,CA,1675627144
566,ritchie,-29.038,24.6028,25.58,42,75,3.67,ZA,1675627194
567,sorland,67.667,12.6934,3.92,62,100,10.46,NO,1675627194
568,bardejov,49.2918,21.2727,-4.68,92,72,3.11,SK,1675627195
569,niesky,51.2924,14.8211,-4.33,83,98,1.97,DE,1675627195
570,manado,1.487,124.8455,24.43,100,40,0.51,ID,1675627196
571,newcastleton,55.1796,-2.8127,2.8,91,99,2.33,GB,1675627196
572,porto novo,6.4965,2.6036,27.35,82,100,4.54,BJ,1675627196
573,isugod,9.3408,118.1196,24.39,88,46,1.52,PH,1675627197
574,zonguldak,41.25,31.8333,-0.23,90,100,0.95,TR,1675627197
575,bagn,60.8225,9.5521,-6.41,94,100,2.27,NO,1675627198
576,pangody,65.85,74.4859,-24.66,100,100,2.1,RU,1675627198
577,oranjestad,12.524,-70.027,28.97,65,20,11.83,AW,1675627101
578,sakakah,29.9697,40.2064,13.76,35,100,3.74,SA,1675627199
579,muroto,33.2833,134.15,9.58,57,99,3.02,JP,1675627199
580,nuoro,40.3211,9.3297,7.43,94,100,0.9,IT,1675627199
581,qaqortoq,60.7167,-46.0333,-6.98,93,100,5.22,GL,1675627201
582,olinda,-8.0089,-34.8553,27.85,74,40,3.6,BR,1675627211
583,aduturai,11.0147,79.4791,20.92,91,91,3.05,IN,1675627224
584,port moresby,-9.4431,147.1797,23.68,100,20,2.57,PG,1675627226
585,floro,61.5996,5.0328,7.2,87,75,6.17,NO,1675627226
586,dandong,40.1292,124.3947,-2.55,84,79,1.35,CN,1675627235
587,maryborough,-25.5333,152.7,24.19,93,97,3.37,AU,1675627236
588,meridian,43.6121,-116.3915,9.88,62,20,3.09,US,1675627237
589,methoni,36.8197,21.7049,5.92,60,25,9.79,GR,1675627237
590,watrous,51.6668,-105.4679,-9.12,86,10,9.26,CA,1675627239
591,mbeya,-8.9,33.45,15.11,93,100,0.98,TZ,1675627240
592,kailua,21.4022,-157.7394,25.08,82,27,2.24,US,1675627240
593,komsomolskiy,40.4272,71.7189,3.4,93,100,1.03,UZ,1675627241
594,ternate,0.8,127.4,25.0,85,100,2.68,ID,1675627241
595,grootfontein,-19.5667,18.1167,18.97,86,100,2.47,NA,1675627242
596,udimskiy,61.1417,45.9144,-17.19,100,99,0.18,RU,1675627242
597,shimoda,34.6667,138.95,4.5,64,0,3.92,JP,1675627243
598,swift current,50.2834,-107.8014,1.45,69,0,8.75,CA,1675627244
599,tokonou,9.65,-9.7833,27.88,15,21,1.48,GN,1675627244
600,dongsheng,39.8161,109.9776,-4.95,38,100,2.22,CN,1675627245
601,seymchan,62.8833,152.4333,-33.54,94,87,1.37,RU,1675627246
602,asau,46.4333,26.4,-4.29,93,100,3.68,RO,1675627246
603,abeche,13.8292,20.8324,24.55,10,94,3.54,TD,1675627247
604,wasilla,61.5814,-149.4394,-1.81,75,20,6.17,US,1675627007
